text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description,target,cleaned_text
d1cksukka,dick,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,dcksukka
d1ckz,dick,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,dckz
d1ldo,dildo,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,dldo
dafuq,fuck,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,dafuq
dago,dago,,,racial / ethnic slurs,none,none,2.2,Strong,racial / ethnic slurs_Strong,dago
darkass,ass,,,racial / ethnic slurs,none,none,2.6,Severe,racial / ethnic slurs_Severe,darkass
darkfuck,fuck,darky,,sexual anatomy / sexual acts,racial / ethnic slurs,none,2.4,Strong,sexual anatomy / sexual acts_Strong,darkfuck
darkie,darky,,,racial / ethnic slurs,none,none,2.8,Severe,racial / ethnic slurs_Severe,darkie
darkshit,shit,,,bodily fluids / excrement,racial / ethnic slurs,none,3.0,Severe,bodily fluids / excrement_Severe,darkshit
darktard,retard,darky,,racial / ethnic slurs,mental disability,none,3.0,Severe,racial / ethnic slurs_Severe,darktard
darky,darky,,,racial / ethnic slurs,none,none,2.8,Severe,racial / ethnic slurs_Severe,darky
dick breath,dick,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,dick breath
dick face,dick,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,dick face
dick fucker,fuck,dick,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,dick fucker
dick head,dick,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,dick head
dick licker,dick,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,dick licker
dick milker,dick,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,dick milker
dick nibbler,dick,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,dick nibbler
dick smoker,dick,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,dick smoker
dick sucker,dick,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,dick sucker
dick-face,dick,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,dickface
dick-gobbler,dick,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,dickgobbler
dick-head,dick,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,dickhead
dickface,dick,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,dickface
dickfucker,dick,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,dickfucker
dickhead,dick,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,dickhead
dickheads,dick,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,dickhead
dickjockies,dick,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,dickjockies
dickless,dick,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,dickless
dicklicker,dick,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,dicklicker
dickmuncher,dick,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,dickmuncher
dicks,dick,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,dick
dickskin,dick,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,dickskin
dickslapper,dick,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,dickslapper
dicksmoker,dick,,,sexual anatomy / sexual acts,none,none,2.8,Severe,sexual anatomy / sexual acts_Severe,dicksmoker
dicksucker,dick,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,dicksucker
dickvag,dick,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,dickvag
dickz,dick,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,dickz
diddle,diddle,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,diddle
dikhead,dick,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,dikhead
diks,dick,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,diks
dild0,dildo,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,dild
dipsh1t,shit,,,mental disability,bodily fluids / excrement,other / general insult,1.6,Strong,mental disability_Strong,dipsht
dipsh1tty,shit,,,bodily fluids / excrement,none,none,1.6,Strong,bodily fluids / excrement_Strong,dipshtty
dipshat,shit,,,bodily fluids / excrement,other / general insult,none,1.2,Mild,bodily fluids / excrement_Mild,dipshat
dipshidiot,shit,,,bodily fluids / excrement,mental disability,none,1.6,Strong,bodily fluids / excrement_Strong,dipshidiot
dipshit,shit,,,bodily fluids / excrement,none,none,1.4,Mild,bodily fluids / excrement_Mild,dipshit
dipshite,shit,,,bodily fluids / excrement,none,none,1.6,Strong,bodily fluids / excrement_Strong,dipshite
dipshits,shit,,,bodily fluids / excrement,mental disability,none,1.6,Strong,bodily fluids / excrement_Strong,dipshits
dipshitter,shit,,,bodily fluids / excrement,mental disability,none,1.6,Strong,bodily fluids / excrement_Strong,dipshitter
dipshitty,shit,,,bodily fluids / excrement,mental disability,none,1.8,Strong,bodily fluids / excrement_Strong,dipshitty
dipstick,dipstick,,,sexual anatomy / sexual acts,mental disability,none,1.2,Mild,sexual anatomy / sexual acts_Mild,dipstick
dirty sanchez,dirty sanchez,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,dirty sanchez
dix,dick,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,dix
dlck,dick,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,dlck
dlcks,dick,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,dlcks
dog fuck,fuck,,,sexual anatomy / sexual acts,animal references,none,2.8,Severe,sexual anatomy / sexual acts_Severe,dog fuck
dog fucker,fuck,,,sexual anatomy / sexual acts,animal references,none,3.0,Severe,sexual anatomy / sexual acts_Severe,dog fucker
dog fucking,fuck,,,sexual anatomy / sexual acts,animal references,none,2.8,Severe,sexual anatomy / sexual acts_Severe,dog fucking
dog shit,shit,,,bodily fluids / excrement,animal references,none,1.2,Mild,bodily fluids / excrement_Mild,dog shit
dog-fucker,fuck,,,sexual anatomy / sexual acts,animal references,none,2.8,Severe,sexual anatomy / sexual acts_Severe,dogfucker
dog's bollocks,bollocks,,,sexual anatomy / sexual acts,animal references,none,1.2,Mild,sexual anatomy / sexual acts_Mild,dog bollock
doggo style,doggy style,,,sexual anatomy / sexual acts,animal references,none,1.2,Mild,sexual anatomy / sexual acts_Mild,doggo style
doggy style,doggy style,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,doggy style
doggy_style,doggy style,,,sexual anatomy / sexual acts,animal references,none,1.4,Mild,sexual anatomy / sexual acts_Mild,doggystyle
dogie style,doggy style,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,dogie style
dogsh1t,shit,,,bodily fluids / excrement,other / general insult,none,1.2,Mild,bodily fluids / excrement_Mild,dogsht
dogsh1ts,shit,,,bodily fluids / excrement,other / general insult,none,1.0,Mild,bodily fluids / excrement_Mild,dogshts
dogshit,shit,,,bodily fluids / excrement,animal references,none,1.0,Mild,bodily fluids / excrement_Mild,dogshit
dogshits,shit,,,bodily fluids / excrement,animal references,none,1.4,Mild,bodily fluids / excrement_Mild,dogshit
dogstyle,doggy style,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,dogstyle
dolt,dolt,,,mental disability,none,none,1.0,Mild,mental disability_Mild,dolt
dong,dong,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,dong
doosh,douche,,,bodily fluids / excrement,none,none,1.4,Mild,bodily fluids / excrement_Mild,doosh
dothead,dothead,,,racial / ethnic slurs,none,none,2.6,Severe,racial / ethnic slurs_Severe,dothead
double dick,dick,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,double dick
double dicking,dick,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,double dicking
double pen,double pen,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,double pen
double-dong,dong,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,doubledong
douche,douche,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,douche
douche bag,douche,,,other / general insult,bodily fluids / excrement,none,1.0,Mild,other / general insult_Mild,douche bag
douche canoe,douche,,,sexual anatomy / sexual acts,bodily fluids / excrement,none,1.4,Mild,sexual anatomy / sexual acts_Mild,douche canoe
douchebag,douche,,,sexual anatomy / sexual acts,bodily fluids / excrement,none,1.4,Mild,sexual anatomy / sexual acts_Mild,douchebag
dumasses,ass,,,sexual anatomy / sexual acts,mental disability,none,1.0,Mild,sexual anatomy / sexual acts_Mild,dumasses
dumb bastard,bastard,,,other / general insult,mental disability,none,1.2,Mild,other / general insult_Mild,dumb bastard
dumb fucker,fuck,,,sexual anatomy / sexual acts,mental disability,none,2.0,Strong,sexual anatomy / sexual acts_Strong,dumb fucker
dumb@ss,ass,,,sexual anatomy / sexual acts,mental disability,none,1.2,Mild,sexual anatomy / sexual acts_Mild,dumbss
dumbarrassed,ass,,,mental disability,none,none,1.4,Mild,mental disability_Mild,dumbarrassed
dumbass,ass,,,mental disability,other / general insult,none,1.4,Mild,mental disability_Mild,dumbass
dumbass fucker,fuck,ass,,sexual anatomy / sexual acts,mental disability,none,2.6,Severe,sexual anatomy / sexual acts_Severe,dumbass fucker
dumbass mofoes,ass,motherfucker,,sexual anatomy / sexual acts,mental disability,none,2.4,Strong,sexual anatomy / sexual acts_Strong,dumbass mofoes
dumbass mothafuckers,motherfucker,ass,,sexual anatomy / sexual acts,mental disability,other / general insult,2.8,Severe,sexual anatomy / sexual acts_Severe,dumbass mothafuckers
dumbass son-of-a-bitch,bitch,ass,,sexual anatomy / sexual acts,sexual orientation / gender,other / general insult,1.8,Strong,sexual anatomy / sexual acts_Strong,dumbass sonofabitch
dumbasses,ass,,,sexual anatomy / sexual acts,mental disability,none,1.0,Mild,sexual anatomy / sexual acts_Mild,dumbass
dumbfucks,fuck,,,sexual anatomy / sexual acts,mental disability,none,2.2,Strong,sexual anatomy / sexual acts_Strong,dumbfucks
dumbshit,shit,,,bodily fluids / excrement,none,none,1.6,Strong,bodily fluids / excrement_Strong,dumbshit
dump a load,dump a load,,,bodily fluids / excrement,none,none,1.6,Strong,bodily fluids / excrement_Strong,dump load
dune coon,coon,,,racial / ethnic slurs,none,none,3.0,Severe,racial / ethnic slurs_Severe,dune coon
dyke,dyke,,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,dyke
erectoplasm,erectoplasm,,,bodily fluids / excrement,none,none,1.8,Strong,bodily fluids / excrement_Strong,erectoplasm
f_u_c_k,fuck,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fuck
f'ed,fuck,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,fed
f'er,fuck,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,fer
f@ck,fuck,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,fck
f@cker bunny,fuck,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fcker bunny
f@g,faggot,,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,fg
f@gg0t,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,fggt
f@gging,faggot,,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,fgging
f@ggot,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,fggot
f@gs,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,fgs
f@gshit,shit,fag,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,fgshit
f@k,fuck,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,fk
f0ck,fuck,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fck
f0cked,fuck,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fcked
f0cker,fuck,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fcker
f0ckers,fuck,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fckers
face fuck,fuck,,,sexual anatomy / sexual acts,none,none,2.8,Severe,sexual anatomy / sexual acts_Severe,face fuck
fack,fuck,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,fack
fackuhs,fuck,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fackuhs
fag,faggot,,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,fag
fag asses,faggot,ass,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,fag ass
fag bag,faggot,,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,fag bag
fag hag,faggot,hag,,sexual orientation / gender,none,none,2.6,Severe,sexual orientation / gender_Severe,fag hag
fag queen,faggot,,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,fag queen
fag0t,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,fagt
faget,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,faget
fagg0t,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,faggt
fagging,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,fagging
faggo,faggot,,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,faggo
faggot,faggot,,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,faggot
faggot mofoes,faggot,motherfucker,,sexual anatomy / sexual acts,sexual orientation / gender,none,3.0,Severe,sexual anatomy / sexual acts_Severe,faggot mofoes
faggot mothafuckers,motherfucker,faggot,,sexual anatomy / sexual acts,sexual orientation / gender,none,3.0,Severe,sexual anatomy / sexual acts_Severe,faggot mothafuckers
faggot nob jokeys,faggot,knob,,sexual anatomy / sexual acts,sexual orientation / gender,none,3.0,Severe,sexual anatomy / sexual acts_Severe,faggot nob jokeys
faggot nobjockies,faggot,knob,,sexual orientation / gender,sexual anatomy / sexual acts,none,3.0,Severe,sexual orientation / gender_Severe,faggot nobjockies
faggot son-of-a-bitch,faggot,bitch,,sexual orientation / gender,other / general insult,none,3.0,Severe,sexual orientation / gender_Severe,faggot sonofabitch
faggoting,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,faggoting
faggots,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,faggot
faggs,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,faggs
faggy,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,faggy
fagot,faggot,,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,fagot
fags,faggot,,,sexual orientation / gender,none,none,3.0,Severe,sexual orientation / gender_Severe,fag
fagshit,faggot,shit,,bodily fluids / excrement,sexual orientation / gender,none,3.0,Severe,bodily fluids / excrement_Severe,fagshit
fart-fucker,fuck,,,sexual anatomy / sexual acts,bodily fluids / excrement,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fartfucker
fatass,ass,,,sexual anatomy / sexual acts,physical attributes,none,1.2,Mild,sexual anatomy / sexual acts_Mild,fatass
fatasses,ass,,,sexual anatomy / sexual acts,physical attributes,none,1.2,Mild,sexual anatomy / sexual acts_Mild,fatasses
fccuker,fuck,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fccuker
fck,fuck,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fck
fck you,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fck
fcka,fuck,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,fcka
fckahz,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fckahz
fcked,fuck,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fcked
fckedup,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fckedup
fcker,fuck,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fcker
fckin,fuck,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fckin
fcking,fuck,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fcking
Fckk,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fckk
fckked,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fckked
fckking,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fckking
fcks,fuck,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fcks
fcktard,fuck,retard,,sexual anatomy / sexual acts,mental disability,none,2.8,Severe,sexual anatomy / sexual acts_Severe,fcktard
fckyeah,fuck,,,other / general insult,none,none,1.6,Strong,other / general insult_Strong,fckyeah
fcuk,fuck,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fcuk
fcuked,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fcuked
fcuker,fuck,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fcuker
fcukers,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fcukers
fcuking,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fcuking
fcukker,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fcukker
fcuks,fuck,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fcuks
fcvking,fuck,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fcvking
feck,fuck,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,feck
feck arse,arse,,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.2,Strong,sexual anatomy / sexual acts_Strong,feck arse
fecker,fuck,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fecker
feg,faggot,,,sexual orientation / gender,none,none,2.4,Strong,sexual orientation / gender_Strong,feg
fellatio aficionado,fellatio,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fellatio aficionado
fellator,fellatio,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,fellator
fick,fuck,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,fick
finger,finger,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,finger
finger fuck,fuck,,,sexual anatomy / sexual acts,none,none,2.6,Severe,sexual anatomy / sexual acts_Severe,finger fuck
fingerbanged,finger,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,fingerbanged
fingerpop,finger,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,fingerpop
fk bunny,fuck,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fk bunny
fkbny,fuck,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,fkbny
fked,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fked
fker,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fker
fking,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fking
fkings,fuck,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,fkings
fkker,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fkker
flamer,flamer,,,sexual orientation / gender,none,none,2.0,Strong,sexual orientation / gender_Strong,flamer
flamers,flamer,,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,flamers
focker,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.0,Strong,sexual anatomy / sexual acts_Strong,focker
fook,fuck,,,sexual anatomy / sexual acts,other / general insult,none,1.6,Strong,sexual anatomy / sexual acts_Strong,fook
fooker,fuck,,,sexual anatomy / sexual acts,other / general insult,none,1.8,Strong,sexual anatomy / sexual acts_Strong,fooker
fookuh,fuck,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,fookuh
forked,fuck,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,forked
fothermuckers,motherfucker,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,fothermuckers
fuc,fuck,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,fuc
fucc,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fucc
fucca,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fucca
fuccers,fuck,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fuccers
fuccing,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,fuccing
fuccs,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fuccs
Fuck,fuck,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fuck
fuck arse,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fuck arse
fuck face,fuck,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fuck face
fuck faces,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fuck face
fuck goblin,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fuck goblin
fuck head,fuck,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fuck head
fuck off,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fuck
fuck up,fuck,,,sexual anatomy / sexual acts,other / general insult,none,1.8,Strong,sexual anatomy / sexual acts_Strong,fuck
fuck y0u,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fuck yu
fuck you,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fuck
fuck your,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fuck
fuck your mother,fuck,motherfucker,,sexual anatomy / sexual acts,other / general insult,none,2.8,Severe,sexual anatomy / sexual acts_Severe,fuck mother
fucka,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fucka
fuckahs,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fuckahs
fuckass,fuck,ass,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fuckass
fuckasses,fuck,ass,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fuckasses
fuckaz,fuck,ass,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fuckaz
fuckbag,fuck,,,sexual anatomy / sexual acts,none,none,2.6,Severe,sexual anatomy / sexual acts_Severe,fuckbag
fuckboy,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.6,Severe,sexual anatomy / sexual acts_Severe,fuckboy
fucked,fuck,,,sexual anatomy / sexual acts,other / general insult,none,1.8,Strong,sexual anatomy / sexual acts_Strong,fucked
fucked up,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fucked
fuckem,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fuckem
fucker,fuck,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fucker
fucker off,fuck,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fucker
fuckers,fuck,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,fucker
fuckface,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fuckface
fuckfaces,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fuckfaces
fuckhead,fuck,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,fuckhead
fuckheaded,fuck,,,sexual anatomy / sexual acts,mental disability,none,2.6,Severe,sexual anatomy / sexual acts_Severe,fuckheaded
fuckheads,fuck,,,sexual anatomy / sexual acts,none,none,2.6,Severe,sexual anatomy / sexual acts_Severe,fuckhead
fuckin,fuck,,,sexual anatomy / sexual acts,other / general insult,none,2.0,Strong,sexual anatomy / sexual acts_Strong,fuckin
