text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description,processed_text
coon1es,coon,,,racial / ethnic slurs,,,3.0,Severe,coon1es
cooni3s,coon,,,racial / ethnic slurs,,,2.4,Strong,cooni3s
coonie,coon,,,racial / ethnic slurs,,,2.8,Severe,coonie
coonies,coon,,,racial / ethnic slurs,,,3.0,Severe,coonies
coons,coon,,,racial / ethnic slurs,,,2.8,Severe,coon
coot,coot,,,sexual anatomy / sexual acts,,,1.6,Strong,coot
coot coot,coot,,,sexual anatomy / sexual acts,,,1.4,Mild,coot coot
cooter,coot,,,sexual anatomy / sexual acts,,,1.2,Mild,cooter
cooter shooting,coot,,,sexual anatomy / sexual acts,,,2.6,Severe,cooter shooting
cooterpuffing,coot,,,sexual anatomy / sexual acts,,,2.4,Strong,cooterpuffing
cooties,cooties,,,other / general insult,,,1.0,Mild,cootie
cotton picker,cotton picker,,,racial / ethnic slurs,,,2.8,Severe,cotton picker
crazy mofos,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,1.4,Mild,crazy mofos
crazy sob,bitch,,,mental disability,,,1.4,Mild,crazy sob
creampie,creampie,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong,creampie
crotch,crotch,,,sexual anatomy / sexual acts,,,1.0,Mild,crotch
crotch fiddler,crotch,,,sexual anatomy / sexual acts,,,2.2,Strong,crotch fiddler
crotchy,crotch,,,sexual anatomy / sexual acts,,,1.4,Mild,crotchy
crow,crow,,,animal references,,,1.0,Mild,crow
crows,crow,,,sexual orientation / gender,animal references,,1.4,Mild,crow
cuksuker,cock,,,sexual anatomy / sexual acts,,,2.4,Strong,cuksuker
cuksukka,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cuksukka
cum goon,cum,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.0,Strong,cum goon
cumball,cum,,,bodily fluids / excrement,,,2.4,Strong,cumball
cumdumpster,cum,,,bodily fluids / excrement,,,2.8,Severe,cumdumpster
cumming,cum,,,bodily fluids / excrement,,,1.6,Strong,cumming
cums,cum,,,bodily fluids / excrement,,,1.4,Mild,cum
cumslut,cum,,,bodily fluids / excrement,other / general insult,,2.8,Severe,cumslut
cumz,cum,,,bodily fluids / excrement,,,2.0,Strong,cumz
cunnilingus,cunnilingus,,,sexual anatomy / sexual acts,,,2.0,Strong,cunnilingus
cunt,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe,cunt
cunt ass,cunt,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,cunt as
cunt fart,cunt,fart,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.6,Severe,cunt fart
cunt lick,cunt,,,sexual anatomy / sexual acts,,,3.0,Severe,cunt lick
cunt licker,cunt,,,sexual anatomy / sexual acts,,,3.0,Severe,cunt licker
cunt lips,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe,cunt lip
cuntasaurus rex,cunt,,,sexual anatomy / sexual acts,animal references,,2.8,Severe,cuntasaurus rex
cuntbag,cunt,,,sexual anatomy / sexual acts,,,3.0,Severe,cuntbag
cuntbollock,cunt,,,sexual anatomy / sexual acts,,,2.2,Strong,cuntbollock
cuntelope,cunt,,,sexual anatomy / sexual acts,,,2.4,Strong,cuntelope
cuntits,cunt,tits,,sexual anatomy / sexual acts,,,2.8,Severe,cuntits
cuntless,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe,cuntless
cuntlick,cunt,,,sexual anatomy / sexual acts,,,3.0,Severe,cuntlick
cuntlicker,cunt,,,sexual anatomy / sexual acts,,,2.4,Strong,cuntlicker
cuntlickers,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe,cuntlickers
cuntness,cunt,,,sexual anatomy / sexual acts,,,3.0,Severe,cuntness
cunts,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe,cunt
cunty,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe,cunty
cuntz,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe,cuntz
cuunt,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe,cuunt
cyberfck,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,cyberfck
cyberfcks,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong,cyberfcks
cyberfuccs,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,cyberfuccs
cyberfucks,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,cyberfucks
cyberfucs,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,cyberfucs
cyberfukk,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,cyberfukk
cyberfukks,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,cyberfukks
cyberfvcks,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,cyberfvcks
d!ck,dick,,,sexual anatomy / sexual acts,,,1.0,Mild,dck
d!cks,dick,,,sexual anatomy / sexual acts,,,1.0,Mild,dcks
d!ld0,dildo,,,sexual anatomy / sexual acts,,,1.4,Mild,dld0
d!ldo,dildo,,,sexual anatomy / sexual acts,,,1.4,Mild,dldo
d0ggy style,doggy style,,,sexual anatomy / sexual acts,,,1.8,Strong,d0ggy style
d1ck,dick,,,sexual anatomy / sexual acts,,,1.0,Mild,d1ck
d1ckhead,dick,,,sexual anatomy / sexual acts,,,1.8,Strong,d1ckhead
d1ckheads,dick,,,sexual anatomy / sexual acts,,,1.8,Strong,d1ckheads
d1cks,dick,,,sexual anatomy / sexual acts,,,1.4,Mild,d1cks
d1cksucker,dick,,,sexual anatomy / sexual acts,,,1.8,Strong,d1cksucker
d1cksukka,dick,,,sexual anatomy / sexual acts,,,2.0,Strong,d1cksukka
d1ckz,dick,,,sexual anatomy / sexual acts,,,1.0,Mild,d1ckz
d1ldo,dildo,,,sexual anatomy / sexual acts,,,1.4,Mild,d1ldo
dafuq,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,dafuq
dago,dago,,,racial / ethnic slurs,,,2.2,Strong,dago
darkass,ass,,,racial / ethnic slurs,,,2.6,Severe,darkass
darkfuck,fuck,darky,,sexual anatomy / sexual acts,racial / ethnic slurs,,2.4,Strong,darkfuck
darkie,darky,,,racial / ethnic slurs,,,2.8,Severe,darkie
darkshit,shit,,,bodily fluids / excrement,racial / ethnic slurs,,3.0,Severe,darkshit
darktard,retard,darky,,racial / ethnic slurs,mental disability,,3.0,Severe,darktard
darky,darky,,,racial / ethnic slurs,,,2.8,Severe,darky
dick breath,dick,,,sexual anatomy / sexual acts,,,2.0,Strong,dick breath
dick face,dick,,,sexual anatomy / sexual acts,,,1.8,Strong,dick face
dick fucker,fuck,dick,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,dick fucker
dick head,dick,,,sexual anatomy / sexual acts,,,1.8,Strong,dick head
dick licker,dick,,,sexual anatomy / sexual acts,,,2.4,Strong,dick licker
dick milker,dick,,,sexual anatomy / sexual acts,,,2.2,Strong,dick milker
dick nibbler,dick,,,sexual anatomy / sexual acts,,,2.4,Strong,dick nibbler
dick smoker,dick,,,sexual anatomy / sexual acts,,,2.4,Strong,dick smoker
dick sucker,dick,,,sexual anatomy / sexual acts,,,2.2,Strong,dick sucker
dick-face,dick,,,sexual anatomy / sexual acts,,,1.8,Strong,dickface
dick-gobbler,dick,,,sexual anatomy / sexual acts,,,1.8,Strong,dickgobbler
dick-head,dick,,,sexual anatomy / sexual acts,,,1.8,Strong,dickhead
dickface,dick,,,sexual anatomy / sexual acts,,,2.0,Strong,dickface
dickfucker,dick,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,dickfucker
dickhead,dick,,,sexual anatomy / sexual acts,,,2.0,Strong,dickhead
dickheads,dick,,,sexual anatomy / sexual acts,,,1.6,Strong,dickhead
dickjockies,dick,,,sexual anatomy / sexual acts,,,2.2,Strong,dickjockies
dickless,dick,,,sexual anatomy / sexual acts,,,1.4,Mild,dickless
dicklicker,dick,,,sexual anatomy / sexual acts,,,2.2,Strong,dicklicker
dickmuncher,dick,,,sexual anatomy / sexual acts,,,2.0,Strong,dickmuncher
dicks,dick,,,sexual anatomy / sexual acts,,,1.0,Mild,dick
dickskin,dick,,,sexual anatomy / sexual acts,,,1.8,Strong,dickskin
dickslapper,dick,,,sexual anatomy / sexual acts,,,1.8,Strong,dickslapper
dicksmoker,dick,,,sexual anatomy / sexual acts,,,2.8,Severe,dicksmoker
dicksucker,dick,,,sexual anatomy / sexual acts,,,2.2,Strong,dicksucker
dickvag,dick,,,sexual anatomy / sexual acts,,,1.6,Strong,dickvag
dickz,dick,,,sexual anatomy / sexual acts,,,1.2,Mild,dickz
diddle,diddle,,,sexual anatomy / sexual acts,,,1.0,Mild,diddle
dikhead,dick,,,sexual anatomy / sexual acts,,,1.6,Strong,dikhead
diks,dick,,,sexual anatomy / sexual acts,,,1.2,Mild,diks
dild0,dildo,,,sexual anatomy / sexual acts,,,1.0,Mild,dild0
dipsh1t,shit,,,mental disability,bodily fluids / excrement,other / general insult,1.6,Strong,dipsh1t
dipsh1tty,shit,,,bodily fluids / excrement,,,1.6,Strong,dipsh1tty
dipshat,shit,,,bodily fluids / excrement,other / general insult,,1.2,Mild,dipshat
dipshidiot,shit,,,bodily fluids / excrement,mental disability,,1.6,Strong,dipshidiot
dipshit,shit,,,bodily fluids / excrement,,,1.4,Mild,dipshit
dipshite,shit,,,bodily fluids / excrement,,,1.6,Strong,dipshite
dipshits,shit,,,bodily fluids / excrement,mental disability,,1.6,Strong,dipshits
dipshitter,shit,,,bodily fluids / excrement,mental disability,,1.6,Strong,dipshitter
dipshitty,shit,,,bodily fluids / excrement,mental disability,,1.8,Strong,dipshitty
dipstick,dipstick,,,sexual anatomy / sexual acts,mental disability,,1.2,Mild,dipstick
dirty sanchez,dirty sanchez,,,sexual anatomy / sexual acts,,,2.4,Strong,dirty sanchez
dix,dick,,,sexual anatomy / sexual acts,,,1.0,Mild,dix
dlck,dick,,,sexual anatomy / sexual acts,,,1.2,Mild,dlck
dlcks,dick,,,sexual anatomy / sexual acts,,,1.0,Mild,dlcks
dog fuck,fuck,,,sexual anatomy / sexual acts,animal references,,2.8,Severe,dog fuck
dog fucker,fuck,,,sexual anatomy / sexual acts,animal references,,3.0,Severe,dog fucker
dog fucking,fuck,,,sexual anatomy / sexual acts,animal references,,2.8,Severe,dog fucking
dog shit,shit,,,bodily fluids / excrement,animal references,,1.2,Mild,dog shit
dog-fucker,fuck,,,sexual anatomy / sexual acts,animal references,,2.8,Severe,dogfucker
dog's bollocks,bollocks,,,sexual anatomy / sexual acts,animal references,,1.2,Mild,dog bollock
doggo style,doggy style,,,sexual anatomy / sexual acts,animal references,,1.2,Mild,doggo style
doggy style,doggy style,,,sexual anatomy / sexual acts,,,1.4,Mild,doggy style
doggy_style,doggy style,,,sexual anatomy / sexual acts,animal references,,1.4,Mild,doggystyle
dogie style,doggy style,,,sexual anatomy / sexual acts,,,1.0,Mild,dogie style
dogsh1t,shit,,,bodily fluids / excrement,other / general insult,,1.2,Mild,dogsh1t
dogsh1ts,shit,,,bodily fluids / excrement,other / general insult,,1.0,Mild,dogsh1ts
dogshit,shit,,,bodily fluids / excrement,animal references,,1.0,Mild,dogshit
dogshits,shit,,,bodily fluids / excrement,animal references,,1.4,Mild,dogshit
dogstyle,doggy style,,,sexual anatomy / sexual acts,,,1.0,Mild,dogstyle
dolt,dolt,,,mental disability,,,1.0,Mild,dolt
dong,dong,,,sexual anatomy / sexual acts,,,1.2,Mild,dong
doosh,douche,,,bodily fluids / excrement,,,1.4,Mild,doosh
dothead,dothead,,,racial / ethnic slurs,,,2.6,Severe,dothead
double dick,dick,,,sexual anatomy / sexual acts,,,1.6,Strong,double dick
double dicking,dick,,,sexual anatomy / sexual acts,,,2.2,Strong,double dicking
double pen,double pen,,,sexual anatomy / sexual acts,,,1.2,Mild,double pen
double-dong,dong,,,sexual anatomy / sexual acts,,,1.4,Mild,doubledong
douche,douche,,,sexual anatomy / sexual acts,,,1.0,Mild,douche
douche bag,douche,,,other / general insult,bodily fluids / excrement,,1.0,Mild,douche bag
douche canoe,douche,,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.4,Mild,douche canoe
douchebag,douche,,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.4,Mild,douchebag
dumasses,ass,,,sexual anatomy / sexual acts,mental disability,,1.0,Mild,dumasses
dumb bastard,bastard,,,other / general insult,mental disability,,1.2,Mild,dumb bastard
dumb fucker,fuck,,,sexual anatomy / sexual acts,mental disability,,2.0,Strong,dumb fucker
dumb@ss,ass,,,sexual anatomy / sexual acts,mental disability,,1.2,Mild,dumbss
dumbarrassed,ass,,,mental disability,,,1.4,Mild,dumbarrassed
dumbass,ass,,,mental disability,other / general insult,,1.4,Mild,dumbass
dumbass fucker,fuck,ass,,sexual anatomy / sexual acts,mental disability,,2.6,Severe,dumbass fucker
dumbass mofoes,ass,motherfucker,,sexual anatomy / sexual acts,mental disability,,2.4,Strong,dumbass mofoes
dumbass mothafuckers,motherfucker,ass,,sexual anatomy / sexual acts,mental disability,other / general insult,2.8,Severe,dumbass mothafuckers
dumbass son-of-a-bitch,bitch,ass,,sexual anatomy / sexual acts,sexual orientation / gender,other / general insult,1.8,Strong,dumbass sonofabitch
dumbasses,ass,,,sexual anatomy / sexual acts,mental disability,,1.0,Mild,dumbass
dumbfucks,fuck,,,sexual anatomy / sexual acts,mental disability,,2.2,Strong,dumbfucks
dumbshit,shit,,,bodily fluids / excrement,,,1.6,Strong,dumbshit
dump a load,dump a load,,,bodily fluids / excrement,,,1.6,Strong,dump load
dune coon,coon,,,racial / ethnic slurs,,,3.0,Severe,dune coon
dyke,dyke,,,sexual orientation / gender,,,2.8,Severe,dyke
erectoplasm,erectoplasm,,,bodily fluids / excrement,,,1.8,Strong,erectoplasm
f_u_c_k,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fuck
f'ed,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong,fed
f'er,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong,fer
f@ck,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong,fck
f@cker bunny,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fcker bunny
f@g,faggot,,,sexual orientation / gender,,,2.8,Severe,fg
f@gg0t,faggot,,,sexual orientation / gender,,,3.0,Severe,fgg0t
f@gging,faggot,,,sexual orientation / gender,,,2.8,Severe,fgging
f@ggot,faggot,,,sexual orientation / gender,,,3.0,Severe,fggot
f@gs,faggot,,,sexual orientation / gender,,,3.0,Severe,fgs
f@gshit,shit,fag,,sexual orientation / gender,,,2.8,Severe,fgshit
f@k,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong,fk
f0ck,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,f0ck
f0cked,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,f0cked
f0cker,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong,f0cker
f0ckers,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,f0ckers
face fuck,fuck,,,sexual anatomy / sexual acts,,,2.8,Severe,face fuck
fack,fuck,,,sexual anatomy / sexual acts,,,1.4,Mild,fack
fackuhs,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fackuhs
fag,faggot,,,sexual orientation / gender,,,2.8,Severe,fag
fag asses,faggot,ass,,sexual orientation / gender,,,2.8,Severe,fag ass
fag bag,faggot,,,sexual orientation / gender,,,2.8,Severe,fag bag
fag hag,faggot,hag,,sexual orientation / gender,,,2.6,Severe,fag hag
fag queen,faggot,,,sexual orientation / gender,,,2.8,Severe,fag queen
fag0t,faggot,,,sexual orientation / gender,,,3.0,Severe,fag0t
faget,faggot,,,sexual orientation / gender,,,3.0,Severe,faget
fagg0t,faggot,,,sexual orientation / gender,,,3.0,Severe,fagg0t
fagging,faggot,,,sexual orientation / gender,,,3.0,Severe,fagging
faggo,faggot,,,sexual orientation / gender,,,2.8,Severe,faggo
faggot,faggot,,,sexual orientation / gender,,,2.8,Severe,faggot
faggot mofoes,faggot,motherfucker,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe,faggot mofoes
faggot mothafuckers,motherfucker,faggot,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe,faggot mothafuckers
faggot nob jokeys,faggot,knob,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe,faggot nob jokeys
faggot nobjockies,faggot,knob,,sexual orientation / gender,sexual anatomy / sexual acts,,3.0,Severe,faggot nobjockies
faggot son-of-a-bitch,faggot,bitch,,sexual orientation / gender,other / general insult,,3.0,Severe,faggot sonofabitch
faggoting,faggot,,,sexual orientation / gender,,,3.0,Severe,faggoting
faggots,faggot,,,sexual orientation / gender,,,3.0,Severe,faggot
faggs,faggot,,,sexual orientation / gender,,,3.0,Severe,faggs
faggy,faggot,,,sexual orientation / gender,,,3.0,Severe,faggy
fagot,faggot,,,sexual orientation / gender,,,2.8,Severe,fagot
fags,faggot,,,sexual orientation / gender,,,3.0,Severe,fag
fagshit,faggot,shit,,bodily fluids / excrement,sexual orientation / gender,,3.0,Severe,fagshit
fart-fucker,fuck,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong,fartfucker
fatass,ass,,,sexual anatomy / sexual acts,physical attributes,,1.2,Mild,fatass
fatasses,ass,,,sexual anatomy / sexual acts,physical attributes,,1.2,Mild,fatasses
fccuker,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fccuker
fck,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong,fck
fck you,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fck
fcka,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong,fcka
fckahz,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fckahz
fcked,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fcked
fckedup,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fckedup
fcker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fcker
fckin,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fckin
fcking,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fcking
Fckk,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fckk
fckked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fckked
fckking,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fckking
fcks,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fcks
fcktard,fuck,retard,,sexual anatomy / sexual acts,mental disability,,2.8,Severe,fcktard
fckyeah,fuck,,,other / general insult,,,1.6,Strong,fckyeah
fcuk,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fcuk
fcuked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fcuked
fcuker,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong,fcuker
fcukers,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fcukers
fcuking,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fcuking
fcukker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fcukker
fcuks,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fcuks
fcvking,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fcvking
feck,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong,feck
feck arse,arse,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,feck arse
fecker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fecker
feg,faggot,,,sexual orientation / gender,,,2.4,Strong,feg
fellatio aficionado,fellatio,,,sexual anatomy / sexual acts,,,2.0,Strong,fellatio aficionado
fellator,fellatio,,,sexual anatomy / sexual acts,,,1.6,Strong,fellator
fick,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong,fick
finger,finger,,,sexual anatomy / sexual acts,,,1.0,Mild,finger
finger fuck,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe,finger fuck
fingerbanged,finger,,,sexual anatomy / sexual acts,,,1.6,Strong,fingerbanged
fingerpop,finger,,,sexual anatomy / sexual acts,,,1.4,Mild,fingerpop
fk bunny,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fk bunny
fkbny,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong,fkbny
fked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fked
fker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong,fker
fking,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fking
fkings,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong,fkings
fkker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fkker
flamer,flamer,,,sexual orientation / gender,,,2.0,Strong,flamer
flamers,flamer,,,sexual orientation / gender,,,2.8,Severe,flamers
focker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,focker
fook,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.6,Strong,fook
fooker,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong,fooker
fookuh,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong,fookuh
forked,fuck,,,sexual anatomy / sexual acts,,,1.0,Mild,forked
fothermuckers,motherfucker,,,sexual anatomy / sexual acts,,,1.8,Strong,fothermuckers
fuc,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong,fuc
fucc,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fucc
fucca,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fucca
fuccers,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fuccers
fuccing,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe,fuccing
fuccs,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fuccs
Fuck,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fuck
fuck arse,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong,fuck arse
fuck face,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong,fuck face
fuck faces,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fuck face
fuck goblin,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fuck goblin
fuck head,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong,fuck head
fuck off,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fuck
fuck up,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong,fuck
fuck y0u,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong,fuck y0u
fuck you,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong,fuck
fuck your,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong,fuck
fuck your mother,fuck,motherfucker,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,fuck mother
fucka,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fucka
fuckahs,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fuckahs
fuckass,fuck,ass,,sexual anatomy / sexual acts,,,2.4,Strong,fuckass
fuckasses,fuck,ass,,sexual anatomy / sexual acts,,,2.4,Strong,fuckasses
fuckaz,fuck,ass,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fuckaz
fuckbag,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe,fuckbag
fuckboy,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe,fuckboy
fucked,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong,fucked
fucked up,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fucked
fuckem,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fuckem
fucker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fucker
fucker off,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fucker
fuckers,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong,fucker
fuckface,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fuckface
fuckfaces,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fuckfaces
fuckhead,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fuckhead
fuckheaded,fuck,,,sexual anatomy / sexual acts,mental disability,,2.6,Severe,fuckheaded
fuckheads,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe,fuckhead
fuckin,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fuckin
fucking,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fucking
fucking A,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong,fucking
fucking asshole,fuck,ass,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe,fucking asshole
fucking bastard,fuck,bastard,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong,fucking bastard
fucking hell,fuck,hell,,sexual anatomy / sexual acts,religious offense,,2.0,Strong,fucking hell
fucking me,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fucking
fucking retard,fuck,retard,,sexual anatomy / sexual acts,mental disability,,3.0,Severe,fucking retard
fucking shit,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.8,Strong,fucking shit
fuckk,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fuckk
fuckless,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,fuckless
fuckmachine,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fuckmachine
fucknuckle,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong,fucknuckle
fucks,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fuck
fuckshit,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong,fuckshit
fuckshitface,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong,fuckshitface
fuckshithead,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.8,Severe,fuckshithead
fuckstar,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fuckstar
fuckster,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fuckster
fuckstick,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fuckstick
fucktard,fuck,retard,,sexual anatomy / sexual acts,mental disability,,2.8,Severe,fucktard
fucktards,fuck,retard,,sexual anatomy / sexual acts,mental disability,,2.6,Severe,fucktards
fuckup,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.0,Strong,fuckup
fuckwad,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,fuckwad
fuckwhore,fuck,whore,,sexual anatomy / sexual acts,,,2.6,Severe,fuckwhore
fucs,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong,fucs
fucx,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong,fucx
fudgefucker,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,3.0,Severe,fudgefucker
fudgepacker,fudge packer,,,sexual orientation / gender,,,2.4,Strong,fudgepacker
fudgepackers,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong,fudgepackers
fudgepackershitter,fudge packer,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,3.0,Severe,fudgepackershitter
fudgepacking fucker,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,3.0,Severe,fudgepacking fucker
fugged,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong,fugged
